iter	Logloss
0	0.6904669449
1	0.6873309686
2	0.6847033319
3	0.6822247919
4	0.6796270741
5	0.677566842
6	0.6751692931
7	0.6724229547
8	0.6700886976
9	0.6677110699
10	0.6652932741
11	0.6626645104
12	0.6608300217
13	0.6590152804
14	0.6572621824
15	0.6556642958
16	0.6539713634
17	0.6519831491
18	0.649481339
19	0.6474698495
20	0.6450295546
21	0.6431426882
22	0.6416141271
23	0.6396922257
24	0.6380996048
25	0.6360759411
26	0.6342821626
27	0.6324141009
28	0.6306855095
29	0.6288327234
30	0.6271836149
31	0.6250559435
32	0.6235792279
33	0.6221827895
34	0.6205392466
35	0.6191326446
36	0.6173145858
37	0.6155462337
38	0.6140591147
39	0.6121459254
40	0.6108452881
41	0.6090611519
42	0.6076887304
43	0.6064658859
44	0.6051452082
45	0.603941881
46	0.6023892413
47	0.6009785572
48	0.5996722986
49	0.5982360942
50	0.5969333317
51	0.5957506627
52	0.5946113207
53	0.592967028
54	0.5920940136
55	0.5911865423
56	0.5900287934
57	0.5888267637
58	0.5872937272
59	0.5865550867
60	0.585533982
61	0.5841188927
62	0.5823460061
63	0.5813406257
64	0.5801219935
65	0.5788424643
66	0.577791608
67	0.5766101715
68	0.575163511
69	0.5739374787
70	0.5728659902
71	0.5719792485
72	0.5707385422
73	0.5695640694
74	0.568023428
75	0.5668814635
76	0.5655288272
77	0.5642121778
78	0.5636510019
79	0.5626718077
80	0.5618564365
81	0.5607724329
82	0.5598503759
83	0.5590385749
84	0.5582404836
85	0.5572320097
86	0.5563643658
87	0.5554540108
88	0.554084259
89	0.5536156947
90	0.5527986076
91	0.5517489002
92	0.5506635639
93	0.5487957065
94	0.5481509813
95	0.5473690668
96	0.5464178616
97	0.545556528
98	0.5445131586
99	0.5433604577
100	0.5425910353
101	0.5412307875
102	0.5405835131
103	0.5398234572
104	0.5392573903
105	0.5385673471
106	0.5377852585
107	0.536778613
108	0.5360647396
109	0.5349059379
110	0.5341537969
111	0.5334149143
112	0.53284922
113	0.5316238545
114	0.5308074481
115	0.5300144239
116	0.5291816739
117	0.5288585174
118	0.5280620569
119	0.5269243556
120	0.5265218126
121	0.5262871917
122	0.5253527605
123	0.5245285581
124	0.5232819117
125	0.5224686227
126	0.5214370761
127	0.5206325474
128	0.5201451597
129	0.5194995689
130	0.5188312345
131	0.5182582854
132	0.5174070103
133	0.5165844451
134	0.5161110855
135	0.5151959801
136	0.51452813
137	0.5141117971
138	0.5136314452
139	0.5130511209
140	0.5128675865
141	0.5121370134
142	0.5117327562
143	0.5112940387
144	0.5107174504
145	0.5101506387
146	0.5094965023
147	0.5086705716
148	0.5080235946
149	0.5077082432
150	0.5071458118
151	0.5065915246
152	0.5062458319
153	0.5052669011
154	0.5047955522
155	0.5035780309
156	0.502943323
157	0.5024996489
158	0.5018738791
159	0.5013084726
160	0.5002184471
161	0.4996099352
162	0.4991405069
163	0.4982768097
164	0.4977778132
165	0.4966489176
166	0.4961460452
167	0.4956183359
168	0.4948488259
169	0.4937549914
170	0.4931282442
171	0.4926088819
172	0.4920222199
173	0.4917473934
174	0.4910299399
175	0.4903358375
176	0.4899470892
177	0.4893798456
178	0.4887269108
179	0.4883694227
180	0.4877743229
181	0.4874582798
182	0.4865659195
183	0.4861651033
184	0.4854083543
185	0.4847151356
186	0.484182661
187	0.4837948289
188	0.4832024523
189	0.4827237767
190	0.4821841203
191	0.481492468
192	0.4809779738
193	0.4806078576
194	0.4799675158
195	0.479544502
196	0.4785145272
197	0.4776827023
198	0.4772956386
199	0.4768674009
200	0.4761619998
201	0.4756267897
202	0.4751468616
203	0.4744685092
204	0.4742023776
205	0.473621401
206	0.4730782737
207	0.4725437509
208	0.4723839032
209	0.4717827186
210	0.4714464906
211	0.4709635026
212	0.4705734033
213	0.4701548857
214	0.4699461102
215	0.469376572
216	0.4686453625
217	0.4678759438
218	0.4673320082
219	0.4668671155
220	0.4663967915
221	0.4661064651
222	0.4654331115
223	0.4649670477
224	0.4644276106
225	0.4639834165
226	0.4630766501
227	0.46270148
228	0.4621663699
229	0.4616769514
230	0.4611634209
231	0.4608035771
232	0.4601051646
233	0.4596317805
234	0.4592161083
235	0.4588729362
236	0.4585327715
237	0.457936494
238	0.4575885668
239	0.4571242233
240	0.45697194
241	0.4568832893
242	0.4568623248
243	0.456266782
244	0.4562460568
245	0.4556866448
246	0.4552012447
247	0.4549905532
248	0.4544794244
249	0.4539434775
250	0.4532384882
251	0.4528830928
252	0.4524455245
253	0.4520650613
254	0.4513187339
255	0.4508788313
256	0.4503457401
257	0.4499122694
258	0.4493467853
259	0.4486382862
260	0.4479134275
261	0.4474077777
262	0.4469118447
263	0.4464894077
264	0.4462126239
265	0.4453817964
266	0.445081625
267	0.4444691627
268	0.4439385112
269	0.4434245796
270	0.4428508274
271	0.442776762
272	0.442187936
273	0.441626883
274	0.4408652945
275	0.4405177585
276	0.4398666215
277	0.4395489154
278	0.4395313083
279	0.4392494804
280	0.4386085447
281	0.438259241
282	0.4379404176
283	0.4377262506
284	0.43716886
285	0.4366985717
286	0.4362973842
287	0.4358174891
288	0.4352653041
289	0.4346680078
290	0.4339186508
291	0.4334874685
292	0.4330501113
293	0.4327773542
294	0.432522937
295	0.4320798284
296	0.4316362343
297	0.4313051794
298	0.4309160935
299	0.4303749762
300	0.4300989605
301	0.4298178201
302	0.4295277274
303	0.429152431
304	0.4289576229
305	0.4282604074
306	0.4278983949
307	0.4274146842
308	0.4266710047
309	0.4263654962
310	0.4259132344
311	0.4256116731
312	0.4252773508
313	0.424901194
314	0.4244841429
315	0.4240604623
316	0.4237531795
317	0.4233516512
318	0.4226463324
319	0.4223432432
320	0.4219318028
321	0.4217031533
322	0.4210578149
323	0.4208235752
324	0.4205119999
325	0.4198990373
326	0.4195050596
327	0.4192181495
328	0.4186385444
329	0.4183271377
330	0.4179821354
331	0.4172353984
332	0.4169691602
333	0.4166589207
334	0.4164068349
335	0.4159957347
336	0.4155827554
337	0.4150878582
338	0.4147905553
339	0.4145109458
340	0.4143185723
341	0.414046785
342	0.4137130793
343	0.4134141297
344	0.412970938
345	0.4123410793
346	0.4118750494
347	0.4114614063
348	0.4110931363
349	0.4107424605
350	0.4104567361
351	0.4101101107
352	0.4095510125
353	0.4090680864
354	0.4086855909
355	0.4080388556
356	0.4078763855
357	0.4073532443
358	0.4068823889
359	0.4066823252
360	0.4064110274
361	0.4060718594
362	0.4057115523
363	0.4053409446
364	0.4047023952
365	0.4044507033
366	0.4040823409
367	0.4036283856
368	0.4033405428
369	0.4031465057
370	0.4029475159
371	0.4025950831
372	0.4022563001
373	0.4018873379
374	0.4015778519
375	0.4010951961
376	0.4008355976
377	0.4003355153
378	0.3999771409
379	0.3995864459
380	0.3992428729
381	0.3990678726
382	0.3988648568
383	0.39849984
384	0.3979505652
385	0.3975686488
386	0.3973073752
387	0.3971599991
388	0.3968964194
389	0.3966413513
390	0.3964038452
391	0.3961275756
392	0.3958113819
393	0.3957226927
394	0.3952269211
395	0.3947319133
396	0.3945145366
397	0.3940458021
398	0.3936293301
399	0.3934139347
400	0.393139512
401	0.3929644815
402	0.392778071
403	0.392454091
404	0.3920116837
405	0.3918875705
406	0.3912462253
407	0.3909872406
408	0.390848118
409	0.3904746918
410	0.3902864776
411	0.3899592642
412	0.3894320885
413	0.3890812609
414	0.388778286
415	0.3884503808
416	0.3880460421
417	0.3875868836
418	0.3872177414
419	0.3870213932
420	0.3867029068
421	0.3861527479
422	0.3859872554
423	0.3858980447
424	0.3851572573
425	0.3848689466
426	0.3845411697
427	0.3842286559
428	0.3838684565
429	0.3833801883
430	0.3831629263
431	0.3828979825
432	0.3824980615
433	0.3821641387
434	0.3818771395
435	0.38156057
436	0.3809375464
437	0.3804364558
438	0.3803857562
439	0.380160693
440	0.3799793903
441	0.3797330665
442	0.3793952384
443	0.379014691
444	0.3785254856
445	0.3782053775
446	0.3778832369
447	0.3776703571
448	0.3774649799
449	0.3770284678
450	0.3765805028
451	0.3764060829
452	0.3761529104
453	0.3757027572
454	0.3752096885
455	0.3749633953
456	0.3745804909
457	0.3736778397
458	0.373516194
459	0.3733341483
460	0.3728602038
461	0.3724763587
462	0.3723334422
463	0.3720501779
464	0.3717100968
465	0.3714003789
466	0.3708083295
467	0.3704995568
468	0.3702316056
469	0.3699498095
470	0.369731703
471	0.3693024764
472	0.3688194787
473	0.3686240547
474	0.3682320615
475	0.367831214
476	0.367491771
477	0.3672460556
478	0.3667812521
479	0.3663769585
480	0.3661267259
481	0.3655286573
482	0.3651508204
483	0.3646380997
484	0.364444234
485	0.3641293317
486	0.3637701585
487	0.3635093081
488	0.3631981143
489	0.3627470292
490	0.3626847338
491	0.3625150863
492	0.3620224902
493	0.361634515
494	0.3613577999
495	0.3609181312
496	0.3605935577
497	0.3603344838
498	0.3599726666
499	0.3597801885
500	0.3593339145
501	0.3588247286
502	0.3585102739
503	0.3580125471
504	0.3577184561
505	0.3575289592
506	0.3572899704
507	0.3569909752
508	0.3566962677
509	0.3563714278
510	0.3561099406
511	0.355893151
512	0.3558428142
513	0.3556946754
514	0.3552788031
515	0.3550004452
516	0.3546706991
517	0.3541266591
518	0.3536627205
519	0.3532705216
520	0.3531689772
521	0.3529474868
522	0.3526794935
523	0.3521571081
524	0.3518222664
525	0.3513898218
526	0.3511195433
527	0.350953056
528	0.3506617755
529	0.3503281452
530	0.3501196893
531	0.3498708795
532	0.3496314032
533	0.3492987711
534	0.34900067
535	0.348768826
536	0.3485559329
537	0.348299527
538	0.3476492073
539	0.3472329924
540	0.3470244971
541	0.3467062647
