Model,Seed,Accuracy,Balanced_Accuracy,F1_Macro,Sensitivity,MCC,ROC_AUC
Logistic Regression,66,0.6644736842105263,0.464080459770115,0.4493927125506073,0.08333333333333333,-0.08851068758499633,0.5156848659003832
SVM (Linear),66,0.5263157894736842,0.5172413793103448,0.48299319727891155,0.5,0.029361010975735173,0.5259818007662835
SVM (RBF),66,0.5657894736842105,0.5335249042145593,0.5082352941176471,0.4722222222222222,0.05773596955473199,0.551484674329502
MLP (Basic),66,0.618421052631579,0.5009578544061303,0.49988654413433176,0.2777777777777778,0.001821330474283852,0.5310105363984674
MLP (Deep),66,0.6447368421052632,0.5660919540229885,0.5558441558441558,0.4166666666666667,0.12089867589021426,0.5628591954022989
MLP (Very Deep),66,0.6776315789473685,0.5014367816091954,0.4975376104702152,0.16666666666666666,0.003295559341992671,0.5413074712643678
XGBoost,66,0.743421052631579,0.4870689655172414,0.42641509433962266,0.0,-0.0790477929834933,0.5657327586206897
Random Forest,66,0.6842105263157895,0.5440613026819923,0.5453639082751744,0.2777777777777778,0.09189713278469863,0.5842911877394636
Gradient Boosting,66,0.75,0.49137931034482757,0.42857142857142855,0.0,-0.0643267520902677,0.5748323754789271
AdaBoost,66,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.4929358237547893
HistGradientBoosting,66,0.7236842105263158,0.5316091954022989,0.5271111111111111,0.16666666666666666,0.0831830863770376,0.6100335249042146
K-Nearest Neighbors,66,0.6710526315789473,0.5450191570881227,0.5450191570881227,0.3055555555555556,0.09003831417624521,0.5263409961685823
Logistic Regression,20,0.75,0.5584291187739464,0.5592185592185592,0.19444444444444445,0.16188631280503085,0.6127873563218391
SVM (Linear),20,0.5328947368421053,0.5694444444444444,0.5067416243886832,0.6388888888888888,0.11835212628626425,0.6041666666666666
SVM (RBF),20,0.5328947368421053,0.5790229885057471,0.5097887803770157,0.6666666666666666,0.13495845536285636,0.5682471264367815
MLP (Basic),20,0.631578947368421,0.48084291187739464,0.4803418803418803,0.19444444444444445,-0.039089424407464844,0.5814176245210728
MLP (Deep),20,0.5592105263157895,0.4621647509578544,0.4605646485513004,0.2777777777777778,-0.06813355703884313,0.5141283524904214
MLP (Very Deep),20,0.5131578947368421,0.460727969348659,0.44862745098039214,0.3611111111111111,-0.06763356433554318,0.514367816091954
XGBoost,20,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.579861111111111
Random Forest,20,0.631578947368421,0.45210727969348663,0.44583333333333336,0.1111111111111111,-0.1050485078938172,0.45641762452107276
