Model,Seed,Accuracy,Balanced_Accuracy,F1_Macro,Sensitivity,MCC,ROC_AUC
Logistic Regression,66,0.5592105263157895,0.5579501915708812,0.5168651264291475,0.5555555555555556,0.09876280883198603,0.592911877394636
SVM (Linear),66,0.5460526315789473,0.5493295019157088,0.5065631616090331,0.5555555555555556,0.08395411643966964,0.5902777777777779
SVM (RBF),66,0.5921052631578947,0.5603448275862069,0.5331880324945513,0.5,0.10440785943762591,0.585727969348659
MLP (Basic),66,0.5855263157894737,0.5272988505747127,0.5120012230545788,0.4166666666666667,0.04794633014853842,0.5112547892720306
MLP (Deep),66,0.6513157894736842,0.5512452107279694,0.5467791842475387,0.3611111111111111,0.09674221957254242,0.5557950191570882
MLP (Very Deep),66,0.6052631578947368,0.5210727969348659,0.5135481117985918,0.3611111111111111,0.038137070949438544,0.5272988505747126
XGBoost,66,0.47368421052631576,0.4923371647509579,0.44596318571168214,0.5277777777777778,-0.013072052481389491,0.5220306513409961
Random Forest,66,0.6447368421052632,0.5277777777777778,0.5263157894736843,0.3055555555555556,0.05363752536223243,0.5385536398467433
Gradient Boosting,66,0.7039473684210527,0.5090996168582376,0.5005476451259584,0.1388888888888889,0.023395413544786546,0.5227490421455938
AdaBoost,66,0.6513157894736842,0.5033524904214559,0.5031760715386987,0.2222222222222222,0.006914285938445658,0.516044061302682
HistGradientBoosting,66,0.6710526315789473,0.5545977011494253,0.5534665099882492,0.3333333333333333,0.10721125348377947,0.5414272030651341
K-Nearest Neighbors,66,0.6381578947368421,0.5426245210727969,0.5371754415102696,0.3611111111111111,0.07939106122908456,0.5683668582375477
Logistic Regression,20,0.6052631578947368,0.49233716475095785,0.49107142857142855,0.2777777777777778,-0.01436684852967191,0.49233716475095785
SVM (Linear),20,0.6052631578947368,0.49233716475095785,0.49107142857142855,0.2777777777777778,-0.01436684852967191,0.4887452107279694
SVM (RBF),20,0.625,0.4956896551724138,0.49554585152838426,0.25,-0.008391715089236343,0.5083812260536398
MLP (Basic),20,0.6447368421052632,0.5469348659003831,0.5419642857142857,0.3611111111111111,0.08799694724424045,0.5119731800766283
MLP (Deep),20,0.5855263157894737,0.46024904214559387,0.4612658227848101,0.2222222222222222,-0.07504303013571047,0.4564176245210728
MLP (Very Deep),20,0.618421052631579,0.49137931034482757,0.49122807017543857,0.25,-0.01664612856069282,0.4815613026819923
XGBoost,20,0.5328947368421053,0.521551724137931,0.48802125338014135,0.5,0.036729970226771665,0.5548371647509578
Random Forest,20,0.6973684210526315,0.485632183908046,0.46642246642246643,0.08333333333333333,-0.03980810970615512,0.5126915708812261
Gradient Boosting,20,0.6973684210526315,0.4664750957854406,0.4309895833333333,0.027777777777777776,-0.10571172154269268,0.5407088122605364
AdaBoost,20,0.6644736842105263,0.44492337164750956,0.4172742990302939,0.027777777777777776,-0.14858885692655843,0.5718390804597702
HistGradientBoosting,20,0.6513157894736842,0.48419540229885055,0.4814290312198262,0.16666666666666666,-0.03420126200462674,0.4475574712643678
K-Nearest Neighbors,20,0.625,0.5052681992337165,0.5043194690771784,0.2777777777777778,0.010092970728870053,0.5307710727969348
Logistic Regression,87,0.6447368421052632,0.4990421455938697,0.4989010989010989,0.2222222222222222,-0.0019544712203732424,0.49784482758620685
SVM (Linear),87,0.5855263157894737,0.51772030651341,0.5059588299024919,0.3888888888888889,0.0313555381223291,0.5023946360153256
SVM (RBF),87,0.5394736842105263,0.5162835249042146,0.4884615384615385,0.4722222222222222,0.027846111897709185,0.49688697318007663
MLP (Basic),87,0.5526315789473685,0.4770114942528736,0.47005742411812956,0.3333333333333333,-0.040522044923655395,0.5117337164750958
MLP (Deep),87,0.5592105263157895,0.43342911877394635,0.436195537839783,0.19444444444444445,-0.12399278102070509,0.47461685823754785
MLP (Very Deep),87,0.618421052631579,0.5296934865900383,0.5229437229437229,0.3611111111111111,0.05431679641444409,0.5287356321839081
