iter	Passed	Remaining
0	2	2909
1	5	2583
2	7	2346
3	10	2597
4	12	2553
5	14	2453
6	16	2362
7	18	2273
8	19	2180
9	21	2141
10	23	2116
11	26	2209
12	28	2191
13	30	2159
14	32	2121
15	34	2092
16	35	2046
17	37	2022
18	38	2001
19	41	2017
20	43	2006
21	44	1983
22	46	1970
23	47	1936
24	49	1911
25	50	1892
26	52	1875
27	53	1846
28	56	1887
29	58	1880
30	59	1870
31	61	1859
32	63	1862
33	65	1850
34	67	1848
35	68	1836
36	71	1868
37	73	1870
38	75	1865
39	77	1865
40	80	1883
41	82	1890
42	86	1916
43	90	1961
44	92	1961
45	95	1975
46	97	1973
47	99	1963
48	102	1980
49	103	1969
50	105	1967
51	107	1961
52	109	1952
53	110	1943
54	112	1938
55	116	1965
56	118	1968
57	122	1989
58	124	1991
59	127	1990
60	128	1982
61	132	2003
62	136	2036
63	138	2026
64	140	2014
65	142	2014
66	144	2007
67	146	2014
68	150	2035
69	153	2033
70	155	2032
71	157	2025
72	158	2014
73	160	2006
74	164	2026
75	168	2045
76	169	2036
77	171	2031
78	173	2019
79	174	2009
80	178	2019
81	182	2041
82	184	2036
83	186	2029
84	187	2019
85	189	2010
86	190	2000
87	194	2015
88	197	2021
89	199	2020
90	202	2019
91	204	2015
92	207	2027
93	211	2043
94	213	2038
95	216	2034
96	218	2030
97	219	2024
98	224	2041
99	228	2059
100	230	2055
101	232	2050
102	234	2041
103	236	2041
104	241	2060
105	243	2057
106	246	2053
107	248	2048
108	249	2042
109	251	2038
110	256	2050
111	258	2051
112	260	2046
113	264	2052
114	266	2047
115	269	2055
116	274	2068
117	276	2065
118	279	2067
119	281	2061
120	282	2055
121	287	2066
122	288	2058
123	290	2051
124	292	2045
125	293	2036
126	295	2030
127	296	2022
128	301	2035
129	303	2032
130	305	2027
131	307	2020
132	308	2011
133	310	2005
134	311	1998
135	316	2008
136	318	2003
137	319	1996
138	321	1990
139	322	1983
140	324	1978
141	326	1971
142	328	1969
143	331	1972
144	333	1967
145	335	1962
146	337	1955
147	338	1948
148	340	1943
149	341	1937
150	344	1935
151	346	1932
152	348	1926
153	349	1919
154	351	1914
155	352	1908
156	354	1900
157	355	1895
158	357	1889
159	359	1886
160	361	1881
161	362	1876
162	364	1871
163	366	1867
164	367	1861
165	369	1856
166	370	1850
167	372	1844
168	374	1841
169	376	1839
170	378	1835
171	380	1830
172	381	1825
173	383	1819
174	384	1813
175	386	1808
176	388	1804
177	390	1802
178	392	1799
179	394	1795
180	395	1790
181	397	1784
182	398	1779
183	400	1774
184	401	1770
185	403	1766
186	406	1767
187	409	1766
188	410	1760
189	412	1756
190	413	1751
191	415	1746
192	416	1741
193	417	1736
194	419	1731
195	422	1732
196	423	1728
197	425	1722
198	426	1718
199	428	1715
200	430	1710
201	431	1706
202	433	1701
203	435	1697
204	438	1701
205	440	1697
206	442	1693
207	443	1688
208	445	1684
209	446	1680
210	448	1676
211	449	1671
212	454	1680
213	456	1676
214	458	1672
215	459	1669
216	461	1666
217	463	1662
218	464	1658
219	468	1660
220	470	1658
221	472	1655
222	474	1651
223	475	1648
224	477	1645
225	479	1641
226	480	1637
227	483	1637
228	485	1635
229	487	1631
230	489	1628
231	490	1624
232	492	1621
233	494	1618
234	496	1614
235	499	1616
236	501	1614
237	502	1610
238	504	1606
239	506	1602
240	507	1598
241	509	1594
242	510	1590
243	512	1587
244	515	1588
245	516	1584
246	518	1580
247	519	1576
248	521	1572
249	522	1568
250	524	1564
251	525	1560
252	527	1556
253	530	1559
254	532	1556
255	534	1552
256	535	1549
257	537	1545
258	538	1542
259	540	1538
260	542	1534
261	543	1531
262	546	1532
263	548	1529
264	551	1528
265	552	1524
266	553	1520
267	555	1516
268	556	1513
269	559	1513
270	561	1511
271	563	1508
272	565	1504
273	567	1502
274	568	1498
275	570	1495
276	571	1492
277	573	1489
278	577	1491
279	578	1488
280	580	1485
281	581	1481
282	583	1478
283	584	1474
284	586	1470
285	587	1467
286	591	1469
287	593	1466
288	594	1463
289	596	1459
290	597	1456
291	599	1453
292	601	1450
293	603	1450
294	607	1451
295	609	1449
296	611	1447
297	613	1444
298	615	1442
299	616	1439
300	618	1437
301	623	1440
302	625	1438
303	627	1436
304	629	1434
305	630	1431
306	632	1427
307	635	1428
308	639	1431
309	641	1428
310	643	1424
311	644	1421
312	646	1418
313	648	1416
314	651	1417
315	655	1418
316	657	1416
317	659	1414
318	660	1410
319	662	1407
320	664	1405
321	668	1408
322	671	1407
323	673	1405
324	675	1403
325	677	1400
326	684	1409
327	686	1406
328	688	1403
329	689	1399
330	691	1397
331	692	1393
332	695	1393
333	699	1394
334	700	1391
335	702	1388
336	704	1385
337	705	1382
338	707	1379
339	708	1376
340	713	1378
341	715	1376
342	717	1373
343	718	1370
344	720	1367
345	721	1364
346	723	1361
347	724	1358
348	728	1358
349	729	1355
350	731	1352
351	732	1349
352	734	1346
353	736	1343
354	737	1340
355	739	1337
356	742	1336
